fips,POPESTIMATE2019,CTYNAME
13269,8020,Taylor County
13271,15860,Telfair County
13273,8531,Terrell County
13275,44451,Thomas County
13277,40644,Tift County
13279,26830,Toombs County
13281,12037,Towns County
13283,6901,Treutlen County
13285,69922,Troup County
13287,7985,Turner County
13289,8120,Twiggs County
13291,24511,Union County
13293,26320,Upson County
13295,69761,Walker County
13297,94593,Walton County
13299,35734,Ware County
13301,5254,Warren County
13303,20374,Washington County
13305,29927,Wayne County
13307,2607,Webster County
13309,7855,Wheeler County
13311,30798,White County
13313,104628,Whitfield County
13315,8635,Wilcox County
13317,9777,Wilkes County
13319,8954,Wilkinson County
13321,20247,Worth County
15000,1415872,Hawaii
15001,201513,Hawaii County
15003,974563,Honolulu County
15005,86,Kalawao County
15007,72293,Kauai County
15009,167417,Maui County
16000,1787065,Idaho
16001,481587,Ada County
16003,4294,Adams County
16005,87808,Bannock County
16007,6125,Bear Lake County
16009,9298,Benewah County
16011,46811,Bingham County
16013,23021,Blaine County
16015,7831,Boise County
16017,45739,Bonner County
16019,119062,Bonneville County
16021,12245,Boundary County
16023,2597,Butte County
16025,1106,Camas County
16027,229849,Canyon County
16029,7155,Caribou County
16031,24030,Cassia County
16033,845,Clark County
16035,8756,Clearwater County
16037,4315,Custer County
16039,27511,Elmore County
16041,13876,Franklin County
16043,13099,Fremont County
16045,18112,Gem County
16047,15179,Gooding County
16049,16667,Idaho County
16051,29871,Jefferson County
16053,24412,Jerome County
16055,165697,Kootenai County
16057,40108,Latah County
16059,8027,Lemhi County
16061,3838,Lewis County
16063,5366,Lincoln County
16065,39907,Madison County
16067,21039,Minidoka County
16069,40408,Nez Perce County
16071,4531,Oneida County
16073,11823,Owyhee County
16075,23951,Payette County
16077,7681,Power County
16079,12882,Shoshone County
16081,12142,Teton County
16083,86878,Twin Falls County
16085,11392,Valley County
16087,10194,Washington County
17000,12671821,Illinois
17001,65435,Adams County
17003,5761,Alexander County
17005,16426,Bond County
17007,53544,Boone County
17009,6578,Brown County
17011,32628,Bureau County
17013,4739,Calhoun County
17015,14305,Carroll County
17017,12147,Cass County
17019,209689,Champaign County
17021,32304,Christian County
17023,15441,Clark County
17025,13184,Clay County
17027,37562,Clinton County
17029,50621,Coles County
17031,5150233,Cook County
17033,18667,Crawford County
17035,10766,Cumberland County
17037,104897,DeKalb County
17039,15638,De Witt County
17041,19465,Douglas County
17043,922921,DuPage County
17045,17161,Edgar County
17047,6395,Edwards County
17049,34008,Effingham County
17051,21336,Fayette County
17053,12961,Ford County
17055,38469,Franklin County
17057,34340,Fulton County
17059,4828,Gallatin County
17061,12969,Greene County
17063,51054,Grundy County
17065,8116,Hamilton County
17067,17708,Hancock County
17069,3821,Hardin County
17071,6646,Henderson County
17073,48913,Henry County
17075,27114,Iroquois County
17077,56750,Jackson County
17079,9610,Jasper County
17081,37684,Jefferson County
17083,21773,Jersey County
17085,21235,Jo Daviess County
17087,12417,Johnson County
17089,532403,Kane County
17091,109862,Kankakee County
17093,128990,Kendall County
17095,49699,Knox County
17097,696535,Lake County
17099,108669,LaSalle County
17101,15678,Lawrence County
17103,34096,Lee County
17105,35648,Livingston County
17107,28618,Logan County
17109,29682,McDonough County
17111,307774,McHenry County
17113,171517,McLean County
17115,104009,Macon County
17117,44926,Macoupin County
17119,262966,Madison County
17121,37205,Marion County
17123,11438,Marshall County
17125,13359,Mason County
17127,13772,Massac County
17129,12196,Menard County
17131,15437,Mercer County
17133,34637,Monroe County
17135,28414,Montgomery County
17137,33658,Morgan County
17139,14501,Moultrie County
17141,50643,Ogle County
17143,179179,Peoria County
17145,20916,Perry County
17147,16344,Piatt County
17149,15561,Pike County
17151,4177,Pope County
17153,5335,Pulaski County
17155,5739,Putnam County
17157,31782,Randolph County
17159,15513,Richland County
17161,141879,Rock Island County
17163,259686,St. Clair County
17165,23491,Saline County
17167,194672,Sangamon County
17169,6768,Schuyler County
17171,4951,Scott County
17173,21634,Shelby County
17175,5342,Stark County
17177,44498,Stephenson County
17179,131803,Tazewell County
17181,16653,Union County
17183,75758,Vermilion County
17185,11520,Wabash County
17187,16844,Warren County
17189,13887,Washington County
17191,16215,Wayne County
17193,13537,White County
17195,55175,Whiteside County
17197,690743,Will County
17199,66597,Williamson County
17201,282572,Winnebago County
17203,38459,Woodford County
18000,6732219,Indiana
18001,35777,Adams County
18003,379299,Allen County
18005,83779,Bartholomew County
18007,8748,Benton County
18009,11758,Blackford County
18011,67843,Boone County
18013,15092,Brown County
18015,20257,Carroll County
18017,37689,Cass County
18019,118302,Clark County
18021,26225,Clay County
18023,32399,Clinton County
18025,10577,Crawford County
18027,33351,Daviess County
18029,49458,Dearborn County
18031,26559,Decatur County
18033,43475,DeKalb County
18035,114135,Delaware County
18037,42736,Dubois County
18039,206341,Elkhart County
18041,23102,Fayette County
18043,78522,Floyd County
18045,16346,Fountain County
18047,22758,Franklin County
18049,19974,Fulton County
18051,33659,Gibson County
18053,65769,Grant County
18055,31922,Greene County
18057,338011,Hamilton County
18059,78168,Hancock County
18061,40515,Harrison County
18063,170311,Hendricks County
18065,47972,Henry County
18067,82544,Howard County
18069,36520,Huntington County
18071,44231,Jackson County
18073,33562,Jasper County
18075,20436,Jay County
18077,32308,Jefferson County
18079,27735,Jennings County
18081,158167,Johnson County
18083,36594,Knox County
18085,79456,Kosciusko County
18087,39614,LaGrange County
18089,485493,Lake County
18091,109888,LaPorte County
18093,45370,Lawrence County
18095,129569,Madison County
18097,964582,Marion County
18099,46258,Marshall County
18101,10255,Martin County
18103,35516,Miami County
18105,148431,Monroe County
18107,38338,Montgomery County
18109,70489,Morgan County
18111,13984,Newton County
18113,47744,Noble County
18115,5875,Ohio County
18117,19646,Orange County
18119,20799,Owen County
18121,16937,Parke County
18123,19169,Perry County
18125,12389,Pike County
18127,170389,Porter County
18129,25427,Posey County
18131,12353,Pulaski County
18133,37576,Putnam County
18135,24665,Randolph County
18137,28324,Ripley County
18139,16581,Rush County
18141,271826,St. Joseph County
18143,23873,Scott County
18145,44729,Shelby County
18147,20277,Spencer County
18149,22995,Starke County
18151,34594,Steuben County
18153,20669,Sullivan County
18155,10751,Switzerland County
18157,195732,Tippecanoe County
18159,15148,Tipton County
18161,7054,Union County
18163,181451,Vanderburgh County
18165,15498,Vermillion County
18167,107038,Vigo County
18169,30996,Wabash County
18171,8265,Warren County
18173,62998,Warrick County
18175,28036,Washington County
18177,65884,Wayne County
18179,28296,Wells County
18181,24102,White County
18183,33964,Whitley County
19000,3155070,Iowa
19001,7152,Adair County
19003,3602,Adams County
19005,13687,Allamakee County
19007,12426,Appanoose County
19009,5496,Audubon County
19011,25645,Benton County
19013,131228,Black Hawk County
19015,26234,Boone County
19017,25062,Bremer County
19019,21175,Buchanan County
19021,19620,Buena Vista County
19023,14439,Butler County
19025,9668,Calhoun County
19027,20165,Carroll County
19029,12836,Cass County
19031,18627,Cedar County
19033,42450,Cerro Gordo County
19035,11235,Cherokee County
19037,11933,Chickasaw County
19039,9395,Clarke County
19041,16016,Clay County
19043,17549,Clayton County
19045,46429,Clinton County
19047,16820,Crawford County
19049,93453,Dallas County
19051,9000,Davis County
19053,7870,Decatur County
19055,17011,Delaware County
19057,38967,Des Moines County
19059,17258,Dickinson County
19061,97311,Dubuque County
19063,9208,Emmet County
19065,19650,Fayette County
19067,15642,Floyd County
19069,10070,Franklin County
19071,6960,Fremont County
19073,8888,Greene County
19075,12232,Grundy County
19077,10689,Guthrie County
19079,14773,Hamilton County
19081,10630,Hancock County
19083,16846,Hardin County
19085,14049,Harrison County
19087,19954,Henry County
19089,9158,Howard County
19091,9558,Humboldt County
19093,6860,Ida County
19095,16184,Iowa County
19097,19439,Jackson County
19099,37185,Jasper County
19101,18295,Jefferson County
19103,151140,Johnson County
19105,20681,Jones County
19107,10246,Keokuk County
19109,14813,Kossuth County
19111,33657,Lee County
19113,226706,Linn County
19115,11035,Louisa County
19117,8600,Lucas County
19119,11755,Lyon County
19121,16338,Madison County
19123,22095,Mahaska County
19125,33253,Marion County
19127,39369,Marshall County
19129,15109,Mills County
19131,10586,Mitchell County
19133,8615,Monona County
19135,7707,Monroe County
19137,9917,Montgomery County
19139,42664,Muscatine County
19141,13753,O'Brien County
19143,5958,Osceola County
19145,15107,Page County
19147,8886,Palo Alto County
19149,25177,Plymouth County
19151,6619,Pocahontas County
19153,490161,Polk County
19155,93206,Pottawattamie County
19157,18504,Poweshiek County
19159,4894,Ringgold County
19161,9721,Sac County
19163,172943,Scott County
19165,11454,Shelby County
19167,34855,Sioux County
19169,97117,Story County
19171,16854,Tama County
19173,6121,Taylor County
19175,12241,Union County
19177,7044,Van Buren County
19179,34969,Wapello County
19181,51466,Warren County
19183,21965,Washington County
19185,6441,Wayne County
19187,35904,Webster County
19189,10354,Winnebago County
19191,19991,Winneshiek County
19193,103107,Woodbury County
19195,7381,Worth County
19197,12562,Wright County
20000,2913314,Kansas
20001,12369,Allen County
20003,7858,Anderson County
20005,16073,Atchison County
20007,4427,Barber County
20009,25779,Barton County
20011,14534,Bourbon County
20013,9564,Brown County
20015,66911,Butler County
20017,2648,Chase County
20019,3250,Chautauqua County
20021,19939,Cherokee County
20023,2657,Cheyenne County
20025,1994,Clark County
20027,8002,Clay County
20029,8786,Cloud County
20031,8179,Coffey County
20033,1700,Comanche County
20035,34908,Cowley County
20037,38818,Crawford County
20039,2827,Decatur County
20041,18466,Dickinson County
20043,7600,Doniphan County
20045,122259,Douglas County
20047,2798,Edwards County
20049,2530,Elk County
20051,28553,Ellis County
20053,6102,Ellsworth County
20055,36467,Finney County
20057,33619,Ford County
20059,25544,Franklin County
20061,31670,Geary County
20063,2636,Gove County
20065,2482,Graham County
20067,7150,Grant County
20069,5988,Gray County
20071,1232,Greeley County
20073,5982,Greenwood County
20075,2539,Hamilton County
20077,5436,Harper County
20079,34429,Harvey County
20081,3968,Haskell County
20083,1794,Hodgeman County
20085,13171,Jackson County
20087,19043,Jefferson County
20089,2879,Jewell County
20091,602401,Johnson County
20093,3838,Kearny County
20095,7152,Kingman County
20097,2475,Kiowa County
20099,19618,Labette County
20101,1535,Lane County
20103,81758,Leavenworth County
20105,2962,Lincoln County
20107,9703,Linn County
20109,2794,Logan County
20111,33195,Lyon County
20113,28542,McPherson County
20115,11884,Marion County
20117,9707,Marshall County
20119,4033,Meade County
20121,34237,Miami County
20123,5979,Mitchell County
20125,31829,Montgomery County
20127,5620,Morris County
20129,2587,Morton County
20131,10231,Nemaha County
20133,16007,Neosho County
20135,2750,Ness County
20137,5361,Norton County
20139,15949,Osage County
20141,3421,Osborne County
20143,5704,Ottawa County
20145,6414,Pawnee County
20147,5234,Phillips County
20149,24383,Pottawatomie County
20151,9164,Pratt County
20153,2530,Rawlins County
20155,61998,Reno County
20157,4636,Republic County
20159,9537,Rice County
20161,74232,Riley County
20163,4920,Rooks County
20165,3036,Rush County
20167,6856,Russell County
20169,54224,Saline County
20171,4823,Scott County
20173,516042,Sedgwick County
20175,21428,Seward County
20177,176875,Shawnee County
20179,2521,Sheridan County
20181,5917,Sherman County
20183,3583,Smith County
20185,4156,Stafford County
20187,2006,Stanton County
20189,5485,Stevens County
20191,22836,Sumner County
20193,7777,Thomas County
20195,2803,Trego County
20197,6931,Wabaunsee County
20199,1518,Wallace County
20201,5406,Washington County
20203,2119,Wichita County
20205,8525,Wilson County
20207,3138,Woodson County
20209,165429,Wyandotte County
21000,4467673,Kentucky
21001,19202,Adair County
21003,21315,Allen County
21005,22747,Anderson County
21007,7888,Ballard County
21009,44249,Barren County
21011,12500,Bath County
21013,26032,Bell County
21015,133581,Boone County
21017,19788,Bourbon County
21019,46718,Boyd County
21021,30060,Boyle County
21023,8303,Bracken County
21025,12630,Breathitt County
21027,20477,Breckinridge County
21029,81676,Bullitt County
21031,12879,Butler County
21033,12747,Caldwell County
21035,39001,Calloway County
21037,93584,Campbell County
21039,4760,Carlisle County
21041,10631,Carroll County
21043,26797,Carter County
21045,16159,Casey County
21047,70461,Christian County
21049,36263,Clark County
21051,19901,Clay County
21053,10218,Clinton County
21055,8806,Crittenden County
21057,6614,Cumberland County
21059,101511,Daviess County
21061,12150,Edmonson County
21063,7517,Elliott County
21065,14106,Estill County
21067,323152,Fayette County
21069,14581,Fleming County
21071,35589,Floyd County
21073,50991,Franklin County
21075,5969,Fulton County
21077,8869,Gallatin County
21079,17666,Garrard County
21081,25069,Grant County
21083,37266,Graves County
21085,26427,Grayson County
21087,10941,Green County
21089,35098,Greenup County
21091,8722,Hancock County
21093,110958,Hardin County
21095,26010,Harlan County
21097,18886,Harrison County
21099,19035,Hart County
21101,45210,Henderson County
21103,16126,Henry County
21105,4380,Hickman County
21107,44686,Hopkins County
21109,13329,Jackson County
21111,766757,Jefferson County
21113,54115,Jessamine County
21115,22188,Johnson County
21117,166998,Kenton County
21119,14806,Knott County
21121,31145,Knox County
21123,14398,Larue County
21125,60813,Laurel County
21127,15317,Lawrence County
21129,7403,Lee County
21131,9877,Leslie County
21133,21553,Letcher County
21135,13275,Lewis County
21137,24549,Lincoln County
21139,9194,Livingston County
21141,27102,Logan County
21143,8210,Lyon County
21145,65418,McCracken County
21147,17231,McCreary County
21149,9207,McLean County
21151,92987,Madison County
21153,12161,Magoffin County
21155,19273,Marion County
21157,31100,Marshall County
21159,11195,Martin County
21161,17070,Mason County
21163,28572,Meade County
21165,6489,Menifee County
21167,21933,Mercer County
21169,10071,Metcalfe County
21171,10650,Monroe County
21173,28157,Montgomery County
21175,13309,Morgan County
21177,30622,Muhlenberg County
21179,46233,Nelson County
21181,7269,Nicholas County
21183,23994,Ohio County
21185,66799,Oldham County
21187,10901,Owen County
21189,4415,Owsley County
21191,14590,Pendleton County
21193,25758,Perry County
21195,57876,Pike County
21197,12359,Powell County
21199,64979,Pulaski County
21201,2108,Robertson County
21203,16695,Rockcastle County
21205,24460,Rowan County
21207,17923,Russell County
21209,57004,Scott County
21211,49024,Shelby County
21213,18572,Simpson County
21215,19351,Spencer County
21217,25769,Taylor County
21219,12294,Todd County
21221,14651,Trigg County
21223,8471,Trimble County
21225,14381,Union County
21227,132896,Warren County
21229,12095,Washington County
21231,20333,Wayne County
21233,12942,Webster County
21235,36264,Whitley County
21237,7157,Wolfe County
21239,26734,Woodford County
22000,4648794,Louisiana
22001,62045,Acadia Parish
22003,25627,Allen Parish
22005,126604,Ascension Parish
22007,21891,Assumption Parish
22009,40144,Avoyelles Parish
22011,37497,Beauregard Parish
22013,13241,Bienville Parish
22015,127039,Bossier Parish
22017,240204,Caddo Parish
22019,203436,Calcasieu Parish
22021,9918,Caldwell Parish
22023,6973,Cameron Parish
